id,observed_on,description,latitude,longitude,scientific_name,common_name,image_url,Dead
189207404,28/10/2023,,-33.67811252,151.3153767,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/331385158/medium.jpg,Y
189208446,28/10/2023,,-33.6783907,151.31569,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/331383668/medium.jpg,Y
189208454,28/10/2023,,-33.6783907,151.31569,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/331383739/medium.jpg,Y
189214802,28/10/2023,,-32.943375,151.76477,Ardenna tenuirostris,Short-tailed Shearwater,https://static.inaturalist.org/photos/331399812/medium.jpg,Y
189732825,02/11/2023,,-34.04066397,151.207126,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/332454032/medium.jpeg,Y
189732870,02/11/2023,,-34.0407664,151.2072,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/332454159/medium.jpeg,Y
189732942,02/11/2023,,-34.0409309,151.2074863,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/332454337/medium.jpeg,Y
189936441,04/11/2023,"We were walking on Wattamolla beach this afternoon, and saw 4 dead cormorants washed off on the beach. :( 
Any idea what might be going on? I have sent the picture to NSW National parks, but is there another place I should report this? ",-34.13687217,151.1180722,Ardenna,Southern Shearwaters,https://static.inaturalist.org/photos/332850492/medium.jpg,Y
190191751,06/11/2023,,-35.07614225,150.6908698,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/333340690/medium.jpeg,Y
190378224,04/11/2023,,-33.52943833,151.3743133,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/333721023/medium.jpg,Y
190379061,04/11/2023,,-33.52304167,151.3913283,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/333722457/medium.jpg,Y
190385410,08/11/2023,poor guy washed up,-34.33010708,150.927211,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/333734459/medium.jpg,Y
190667014,11/11/2023,Five muttonbirds washed up on the beach all within a few metres of one another. Three are pictured. They are at the end of the beach that is bordered by the breakwall so might have been deposited here because they couldn't be washed any further along. They are at the high water mark on the sand and seem like they haven't been there long. They have a very slight smell to them but nothing overwhelming yet. They don't look to have been scavenged at all. They're all a similar size and were probably part of the mass die-off of the migrating group recently. Came across them at night after a hot and muggy day.,-32.91811747,151.7989674,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/334298576/medium.jpeg,Y
190760340,05/11/2023,,-34.39899568,150.9047012,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/334483845/medium.jpg,Y
190762279,05/11/2023,,-34.07976218,151.1347178,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/334488552/medium.jpg,Y
190773272,09/11/2023,,-33.67820371,151.3158601,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/334508236/medium.jpg,Y
191040122,15/11/2023,"On high tide mark. 
",-32.33025,152.537705,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/335039340/medium.jpg,Y
191139277,16/11/2023,several of these washed up,-34.29669903,150.9420381,Ardenna,Southern Shearwaters,https://inaturalist-open-data.s3.amazonaws.com/photos/335241849/medium.jpg,Y
191324782,18/11/2023,,-35.27708667,150.4938967,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/335612196/medium.jpg,Y
191336361,06/11/2023,Approximately 40 dead along beach. Must be a natural annual die off because if I remember correctly they could be found there last year too. ,-35.28128,150.48845,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/335637172/medium.jpg,Y
191336361,06/11/2023,Approximately 40 dead along beach. Must be a natural annual die off because if I remember correctly they could be found there last year too. ,-35.28128,150.48845,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/335637172/medium.jpg,Y
191336361,06/11/2023,Approximately 40 dead along beach. Must be a natural annual die off because if I remember correctly they could be found there last year too. ,-35.28128,150.48845,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/335637172/medium.jpg,Y
191336361,06/11/2023,Approximately 40 dead along beach. Must be a natural annual die off because if I remember correctly they could be found there last year too. ,-35.28128,150.48845,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/335637172/medium.jpg,Y
191336361,06/11/2023,Approximately 40 dead along beach. Must be a natural annual die off because if I remember correctly they could be found there last year too. ,-35.28128,150.48845,Ardenna tenuirostris,Short-tailed Shearwater,https://inaturalist-open-data.s3.amazonaws.com/photos/335637172/medium.jpg,Y
